fruta_id,es_grande,es_pesada,textura_firme,sin_defectos_superficie,color_homogeneo,calidad_real
DES170,0,1,1,0,1,descarte
PRM054,1,1,0,0,1,premium
PRM016,1,1,1,0,1,premium
PRM043,1,1,1,1,1,premium
PRM014,1,1,1,1,1,premium
PRM037,1,1,1,0,1,premium
COM061,0,0,0,0,0,comercial
DES124,0,1,1,0,1,descarte
COM062,0,0,0,0,0,comercial
PRM020,1,1,0,1,1,premium
COM066,0,0,0,0,0,comercial
PRM031,1,1,1,1,0,premium
DES150,1,1,1,0,1,descarte
PRM003,1,1,1,1,1,premium
COM119,0,0,0,1,0,comercial
DES128,0,0,1,0,1,descarte
COM120,1,1,0,1,1,comercial
DES161,0,0,1,0,1,descarte
DES171,0,0,1,0,1,descarte
COM067,0,0,0,0,0,comercial
COM096,0,0,0,1,1,comercial
DES175,1,1,0,0,0,descarte
PRM026,1,1,0,1,1,premium
COM095,0,0,0,1,1,comercial
DES122,0,0,1,0,0,descarte
DES145,0,0,1,1,0,descarte
DES176,1,1,1,0,0,descarte
COM075,0,0,0,0,0,comercial
DES143,0,0,1,0,0,descarte
DES147,1,1,1,0,1,descarte
PRM015,1,1,0,1,1,premium
PRM053,1,1,0,0,1,premium
DES163,0,0,1,0,0,descarte
COM106,0,0,0,1,0,comercial
PRM045,0,1,1,0,1,premium
COM100,0,0,0,1,1,comercial
COM070,0,0,0,0,0,comercial
COM081,1,1,0,0,0,comercial
DES156,0,0,1,0,1,descarte
PRM001,1,1,1,1,1,premium
COM117,1,1,0,0,0,comercial
PRM017,1,1,1,0,1,premium
DES138,0,0,1,1,1,descarte
DES127,0,0,1,0,1,descarte
COM102,0,0,0,1,0,comercial
COM065,0,0,0,0,0,comercial
DES141,0,0,1,0,1,descarte
COM084,0,0,0,1,1,comercial
PRM039,1,1,1,1,1,premium
DES132,1,1,1,0,1,descarte
PRM044,1,1,1,0,1,premium
COM074,0,0,0,1,0,comercial
DES123,0,0,1,0,0,descarte
COM077,1,1,0,0,0,comercial
COM103,0,0,0,1,0,comercial
DES157,0,0,1,1,1,descarte
DES146,1,1,1,0,1,descarte
PRM004,1,1,0,1,1,premium
DES142,0,0,1,0,0,descarte
PRM006,1,1,0,1,1,premium
DES125,0,0,1,0,1,descarte
PRM033,1,0,1,1,1,premium
COM080,0,0,0,0,0,comercial
COM091,1,0,0,0,0,comercial
COM113,1,0,0,1,1,comercial
DES158,0,0,1,0,1,descarte
PRM055,1,1,1,0,1,premium
DES177,1,1,1,0,0,descarte
DES134,0,1,1,0,0,descarte
DES129,0,0,1,0,1,descarte
PRM034,1,1,0,0,0,premium
