fruta_id,es_grande,es_pesada,textura_firme,sin_defectos_superficie,color_homogeneo,calidad_real
F138,0,0,1,0,0,comercial
F115,1,0,1,1,0,comercial
F126,0,0,0,0,0,descarte
F120,0,0,0,0,0,descarte
F102,1,1,1,0,0,comercial
F136,0,1,1,1,1,premium
F094,0,0,0,0,0,descarte
F118,1,1,1,1,1,premium
F110,0,0,0,0,0,descarte
F109,1,0,0,0,0,descarte
F127,1,1,1,0,1,premium
F111,0,0,0,0,0,descarte
F147,1,1,1,1,1,premium
F149,1,0,1,1,0,comercial
F140,1,1,1,1,0,premium
F098,0,1,1,0,0,comercial
F137,1,1,1,1,1,premium
F148,0,0,0,0,0,descarte
F097,0,0,0,0,0,descarte
F095,0,0,0,0,0,descarte
F116,0,0,0,1,0,descarte
F121,0,0,0,1,0,descarte
F143,0,0,1,0,0,descarte
F112,1,1,1,1,1,premium
F145,0,0,0,0,0,descarte
F123,1,0,1,1,0,comercial
F105,0,0,1,1,0,comercial
F096,1,1,1,1,0,comercial
F141,0,0,1,1,1,premium
F099,1,0,1,1,0,comercial
F134,1,1,1,0,1,premium
F131,0,0,1,0,0,descarte
F146,1,1,1,1,1,premium
F101,1,0,1,1,0,comercial
F100,1,1,1,0,1,premium
F124,0,0,0,0,0,descarte
F117,1,0,1,1,0,comercial
F129,0,0,0,0,0,descarte
F122,0,1,1,1,0,comercial
F092,1,1,1,1,0,comercial
F107,1,1,1,1,1,premium
F150,1,0,0,1,0,descarte
F108,1,1,1,1,1,premium
F135,0,1,1,1,1,premium
F144,0,0,0,0,0,descarte
F091,1,0,0,1,0,comercial
F103,1,0,1,1,0,comercial
F130,0,0,1,0,0,comercial
F125,1,1,1,1,1,premium
F113,1,1,1,1,1,premium
F142,0,1,1,1,0,comercial
F114,1,0,1,1,1,comercial
F128,1,0,1,1,0,comercial
F093,1,0,1,1,1,premium
F133,1,1,0,1,1,premium
F106,0,0,0,0,0,descarte
F119,1,0,1,1,0,comercial
F139,0,1,1,1,1,premium
F132,1,1,1,1,1,premium
F104,0,0,0,0,1,descarte
