fruta_id,es_esferica,cascara_rugosa,tiene_tallo,densidad_alta,pigmentacion_oscura,color_uniforme,tipo_real
FT170,0,1,0,1,1,1,tropical
FM054,1,1,0,1,0,1,carozo
FM016,1,0,0,1,0,1,carozo
FM043,1,1,0,1,0,1,carozo
FM014,1,0,0,1,0,1,carozo
FM037,0,0,0,1,0,1,carozo
FC061,1,1,0,0,0,0,citrico
FT124,0,1,0,0,1,0,tropical
FC062,1,1,0,0,0,0,citrico
FM020,1,0,0,1,1,1,carozo
FC066,1,1,0,0,0,1,citrico
FM031,1,0,0,1,0,1,carozo
FT150,0,1,0,0,0,0,tropical
FM003,1,0,0,1,1,1,carozo
FC119,1,1,0,1,1,1,citrico
FT128,0,1,0,0,0,1,tropical
FC120,1,1,0,1,1,1,citrico
FT161,0,1,0,0,0,0,tropical
FT171,0,1,0,1,1,0,tropical
FC067,1,1,0,1,0,1,citrico
FC096,1,1,0,1,1,1,citrico
FT175,0,1,0,1,1,0,tropical
FM026,1,0,0,1,1,1,carozo
FC095,1,1,0,1,1,1,citrico
FT122,0,1,0,1,1,0,tropical
FT145,0,1,0,0,0,1,tropical
FT176,0,1,0,0,0,1,tropical
FC075,1,1,0,1,1,0,citrico
FT143,0,1,0,0,0,1,tropical
FT147,0,1,0,0,0,0,tropical
FM015,1,1,0,1,1,1,carozo
FM053,1,1,0,1,0,1,carozo
FT163,0,1,0,0,0,1,tropical
FC106,1,1,0,1,1,1,citrico
FM045,1,0,0,1,1,0,carozo
FC100,1,1,0,1,1,1,citrico
FC070,1,1,0,0,0,1,citrico
FC081,1,1,0,1,1,0,citrico
FT156,0,1,0,0,1,0,tropical
FM001,0,1,0,0,1,1,carozo
FC117,1,1,0,1,1,1,citrico
FM017,1,0,0,1,1,1,carozo
FT138,0,1,0,0,0,0,tropical
FT127,0,1,0,0,0,1,tropical
FC102,1,1,0,1,1,1,citrico
FC065,1,1,0,1,0,1,citrico
FT141,0,1,0,0,0,0,tropical
FC084,1,1,0,1,1,1,citrico
FM039,1,0,0,1,0,1,carozo
FT132,0,1,0,0,0,0,tropical
FM044,1,0,0,1,1,0,carozo
FC074,1,1,0,1,1,0,citrico
FT123,0,1,0,0,1,1,tropical
FC077,1,0,0,1,1,0,citrico
FC103,1,1,0,1,1,1,citrico
FT157,0,1,0,0,1,0,tropical
FT146,0,1,0,0,0,1,tropical
FM004,1,0,0,1,1,1,carozo
FT142,0,1,0,0,0,0,tropical
FM006,1,1,0,1,0,1,carozo
FT125,0,1,0,0,1,0,tropical
FM033,1,1,0,1,1,1,carozo
FC080,1,1,0,0,1,1,citrico
FC091,1,1,0,0,1,1,citrico
FC113,1,1,0,1,1,1,citrico
FT158,0,1,0,0,0,1,tropical
FM055,1,1,0,0,0,1,carozo
FT177,0,1,0,0,0,1,tropical
FT134,0,1,0,0,1,0,tropical
FT129,0,1,0,0,0,0,tropical
FM034,1,1,0,1,0,0,carozo
FM019,1,1,0,1,1,1,carozo
FC116,1,1,0,1,1,1,citrico
FT159,0,1,0,0,0,1,tropical
FC064,1,1,0,1,0,1,citrico
FC079,1,1,0,1,1,1,citrico
FC104,1,1,0,1,1,1,citrico
FC073,1,1,0,1,1,1,citrico
FM028,1,1,0,1,1,1,carozo
FT168,0,1,0,1,1,1,tropical
FT131,0,1,0,0,0,0,tropical
FM052,1,0,0,1,0,1,carozo
FT154,0,1,0,0,1,0,tropical
FM005,1,1,0,1,1,1,carozo
FT121,0,1,0,1,1,1,tropical
FT167,0,1,0,1,1,1,tropical
FM042,1,1,0,1,0,1,carozo
FC105,1,1,0,1,0,1,citrico
FT179,0,1,0,0,0,1,tropical
FT148,0,1,0,0,1,0,tropical
FT139,0,1,0,0,0,1,tropical
FC101,1,1,0,1,1,1,citrico
FC114,1,1,0,1,1,1,citrico
FT136,0,1,0,0,0,0,tropical
FT180,0,1,0,0,0,1,tropical
FC112,1,1,0,1,1,1,citrico
FT135,0,1,0,0,0,0,tropical
FC094,1,1,0,1,1,1,citrico
FC069,1,1,0,1,1,1,citrico
FM022,1,1,0,0,1,0,carozo
FT162,0,1,0,0,0,1,tropical
FC078,1,1,0,1,1,1,citrico
FM010,1,1,0,1,1,1,carozo
FC083,1,1,0,1,1,0,citrico
FT149,0,1,0,0,0,0,tropical
FC090,1,1,0,1,1,0,citrico
FM035,1,1,0,1,0,1,carozo
FC086,1,1,0,0,1,1,citrico
FT160,0,1,0,0,0,0,tropical
FM046,1,1,0,1,0,1,carozo
FM048,1,1,0,1,0,1,carozo
FT133,0,1,0,0,0,0,tropical
FM047,1,1,0,1,1,1,carozo
FC107,1,1,0,1,1,1,citrico
FC082,1,1,0,1,1,1,citrico
FM059,1,0,0,1,0,1,carozo
FT174,0,1,0,1,0,1,tropical
FM049,1,1,0,1,0,1,carozo
FM013,1,1,0,1,0,1,carozo
FC111,1,1,0,1,1,1,citrico
FT126,0,1,0,0,0,1,tropical
FC110,1,1,0,1,1,1,citrico
FM011,1,1,0,1,1,1,carozo
FM038,1,0,0,1,1,1,carozo
FC099,1,1,0,1,1,1,citrico
FM030,1,0,0,1,0,1,carozo
FC085,1,1,0,1,1,1,citrico
FT137,0,1,0,0,1,0,tropical
FM018,1,1,0,1,1,1,carozo
FM050,1,1,0,1,0,1,carozo
