fruta_id,es_esferica,cascara_rugosa,tiene_tallo,densidad_alta,pigmentacion_oscura,tipo_real
F086,0,0,0,0,1,tropical
F138,1,0,1,1,0,carozo
F115,1,0,1,1,0,carozo
F028,1,0,0,0,0,citrico
F126,1,0,1,1,0,carozo
F006,1,0,1,0,0,citrico
F085,0,0,1,0,1,tropical
F080,0,0,1,0,1,tropical
F120,1,0,1,0,0,carozo
F017,1,1,0,0,0,citrico
F102,1,0,1,0,0,carozo
F072,0,0,1,1,1,tropical
F136,1,0,1,1,0,carozo
F094,1,0,1,1,1,carozo
F004,1,1,0,0,1,citrico
F024,1,1,0,0,0,citrico
F118,1,0,1,1,1,carozo
F110,1,0,1,1,1,carozo
F109,1,0,0,0,0,carozo
F057,0,0,1,0,1,tropical
F089,0,0,1,0,1,tropical
F051,0,0,0,0,1,tropical
F041,1,1,0,0,0,citrico
F047,1,0,1,0,1,tropical
F127,1,0,1,0,0,carozo
F013,1,1,0,0,0,citrico
F023,1,1,0,0,0,citrico
F079,0,0,1,0,0,tropical
F011,1,1,0,0,0,citrico
F073,0,0,1,0,1,tropical
F026,1,0,0,0,0,citrico
F056,1,1,1,0,1,tropical
F005,1,1,0,0,0,citrico
F087,1,0,1,0,1,tropical
F111,1,0,0,1,0,carozo
F147,1,0,1,1,0,carozo
F082,0,1,1,0,1,tropical
F149,1,0,1,1,0,carozo
F140,1,0,1,1,0,carozo
F098,1,0,1,1,0,carozo
F137,1,0,1,0,1,carozo
F007,1,1,0,0,0,citrico
F022,1,0,0,0,0,citrico
F148,1,0,0,1,0,carozo
F033,0,1,0,0,0,citrico
F088,1,0,1,0,1,tropical
F068,0,0,1,0,1,tropical
F097,1,1,1,1,0,carozo
F010,1,0,0,0,0,citrico
F067,0,0,1,1,1,tropical
F095,1,0,1,1,0,carozo
F116,1,0,1,1,0,carozo
F090,0,0,1,0,1,tropical
F052,0,1,1,0,1,tropical
F046,0,0,1,0,1,tropical
F084,1,0,1,0,0,tropical
F048,1,0,1,0,1,tropical
F121,0,0,1,1,0,carozo
F003,1,1,1,0,0,citrico
F027,1,0,0,0,1,citrico
F143,1,0,1,1,0,carozo
F055,0,0,1,0,1,tropical
F112,1,0,1,1,0,carozo
F145,0,0,1,1,0,carozo
F123,1,0,1,1,0,carozo
F105,1,0,1,1,0,carozo
F042,1,1,1,0,0,citrico
F096,1,0,1,1,0,carozo
F141,1,0,1,0,0,carozo
F070,0,0,1,0,1,tropical
F043,1,1,0,0,0,citrico
F045,1,1,0,0,1,citrico
F099,1,0,1,0,0,carozo
F134,1,0,1,1,0,carozo
F058,0,0,0,0,1,tropical
F131,1,1,1,1,0,carozo
F063,0,0,1,1,1,tropical
F075,0,0,1,0,1,tropical
F076,1,0,1,0,1,tropical
F039,1,1,0,0,0,citrico
F037,1,1,0,1,0,citrico
F146,1,0,1,0,0,carozo
F101,1,1,1,1,1,carozo
F065,0,0,1,0,0,tropical
F044,1,1,0,0,0,citrico
F100,1,0,1,1,0,carozo
F036,1,0,0,0,0,citrico
F009,1,0,0,0,1,citrico
F018,1,1,0,1,1,citrico
F124,1,0,1,1,0,carozo
F077,0,0,1,0,1,tropical
F025,1,1,0,0,1,citrico
F050,0,0,1,0,1,tropical
F019,0,1,0,0,1,citrico
F117,1,0,1,0,0,carozo
F059,1,0,1,0,1,tropical
F129,1,0,1,1,0,carozo
F061,0,0,1,0,1,tropical
F062,0,0,1,0,1,tropical
F054,0,0,1,0,0,tropical
F035,1,1,0,0,0,citrico
F122,1,0,1,0,0,carozo
F066,0,0,1,0,1,tropical
F038,1,1,0,0,0,citrico
F092,1,0,1,1,0,carozo
F064,0,0,1,0,1,tropical
F020,1,1,0,0,0,citrico
F107,1,0,1,1,0,carozo
F150,1,0,1,1,0,carozo
F016,1,1,0,0,0,citrico
F060,0,0,0,1,1,tropical
F015,1,1,0,0,0,citrico
F108,1,0,1,1,1,carozo
F029,1,1,0,0,0,citrico
F012,1,1,0,0,0,citrico
F135,1,0,1,1,0,carozo
F144,0,1,1,1,0,carozo
F002,1,1,1,0,1,citrico
F071,0,0,1,1,1,tropical
F040,1,1,1,0,0,citrico
F021,0,1,0,0,0,citrico
F091,1,0,1,1,0,carozo
F031,1,1,0,0,0,citrico
F103,1,0,1,1,0,carozo
F078,0,0,1,0,1,tropical
F081,0,0,1,0,1,tropical
F130,1,0,1,1,0,carozo
F008,1,1,0,0,0,citrico
F032,1,1,0,0,0,citrico
F125,1,0,1,0,0,carozo
F113,1,0,1,1,0,carozo
F074,0,0,1,1,1,tropical
F034,0,1,0,0,0,citrico
F069,0,0,0,0,1,tropical
F053,0,0,1,0,1,tropical
F142,1,0,1,1,0,carozo
F114,1,1,1,1,0,carozo
F128,1,0,0,1,0,carozo
F093,0,0,1,1,0,carozo
F133,1,0,1,0,0,carozo
F049,0,0,1,0,1,tropical
F014,1,1,1,0,0,citrico
F106,1,0,1,0,0,carozo
F119,1,0,1,1,0,carozo
F139,1,0,1,1,0,carozo
F001,1,0,0,0,0,citrico
F132,1,1,1,0,0,carozo
F104,1,0,0,0,0,carozo
F030,1,1,0,0,0,citrico
F083,0,0,1,0,1,tropical
